iter	Passed	Remaining
0	138	137946
1	141	70600
2	144	48177
3	148	36953
4	152	30283
5	155	25776
6	159	22592
7	162	20189
8	166	18312
9	169	16778
10	172	15522
11	175	14478
12	179	13598
13	182	12838
14	185	12176
15	188	11606
16	192	11114
17	195	10678
18	199	10282
19	202	9924
20	205	9603
21	209	9306
22	212	9028
23	215	8777
24	219	8543
25	222	8340
26	225	8143
27	229	7955
28	232	7771
29	235	7610
30	239	7474
31	242	7329
32	245	7198
33	249	7076
34	252	6962
35	256	6863
36	259	6764
37	263	6659
38	266	6560
39	269	6472
40	273	6387
41	276	6301
42	279	6219
43	283	6149
44	286	6079
45	289	6009
46	293	5941
47	296	5871
48	299	5813
49	303	5765
50	306	5710
51	309	5649
52	313	5605
53	317	5554
54	320	5510
55	324	5462
56	327	5419
57	330	5373
58	334	5338
59	338	5296
60	341	5252
61	344	5212
62	347	5174
63	351	5137
64	354	5103
65	357	5057
66	360	5020
67	364	4989
68	367	4954
69	370	4917
70	373	4883
71	376	4849
72	379	4816
73	382	4785
74	385	4755
75	388	4728
76	392	4700
77	395	4672
78	398	4644
79	401	4617
80	404	4591
81	407	4566
82	411	4542
83	414	4515
84	417	4490
85	420	4466
86	423	4445
87	426	4423
88	430	4402
89	433	4382
90	436	4361
91	439	4337
92	442	4317
93	445	4297
94	448	4276
95	451	4255
96	454	4233
97	457	4211
98	459	4182
99	462	4164
100	465	4147
101	468	4128
102	472	4112
103	475	4094
104	478	4077
105	481	4061
106	484	4043
107	487	4025
108	490	4010
109	493	3994
110	496	3979
111	499	3963
112	502	3946
113	506	3933
114	508	3916
115	511	3900
116	514	3884
117	517	3869
118	520	3856
119	523	3840
120	526	3825
121	529	3809
122	532	3795
123	535	3783
124	538	3771
125	541	3758
126	544	3744
127	547	3730
128	550	3717
129	553	3705
130	556	3692
131	559	3679
132	562	3666
133	565	3655
134	568	3643
135	571	3630
136	574	3618
137	577	3605
138	580	3595
139	583	3584
140	586	3574
141	589	3562
142	592	3552
143	596	3543
144	599	3535
145	602	3525
146	605	3515
147	608	3503
148	611	3493
149	614	3482
150	617	3471
151	620	3461
152	623	3450
153	626	3439
154	628	3428
155	631	3418
156	634	3408
157	638	3400
158	640	3390
159	644	3381
160	647	3371
161	650	3362
162	653	3354
163	656	3347
164	659	3338
165	662	3330
166	665	3320
167	668	3313
168	671	3304
169	674	3294
170	677	3286
171	681	3279
172	684	3271
173	687	3262
174	690	3254
175	693	3245
176	696	3238
177	699	3229
178	702	3220
179	705	3211
180	707	3203
181	711	3196
182	714	3189
183	717	3182
184	720	3174
185	723	3167
186	726	3158
187	729	3151
188	732	3143
189	735	3137
190	738	3128
191	741	3120
192	744	3114
193	747	3106
194	751	3100
195	754	3094
196	757	3088
197	760	3081
198	763	3074
199	766	3067
200	770	3062
201	773	3057
202	777	3051
203	780	3044
204	783	3038
205	786	3032
206	789	3026
207	792	3019
208	796	3013
209	798	3005
210	802	3000
211	805	2993
212	808	2987
213	811	2981
214	814	2974
215	817	2968
216	820	2962
217	823	2955
218	827	2950
219	830	2943
220	833	2938
221	836	2932
222	840	2927
223	843	2922
224	847	2918
225	850	2912
226	853	2906
227	856	2900
228	859	2894
229	862	2888
230	865	2882
231	869	2877
232	872	2870
233	875	2864
234	878	2859
235	881	2853
236	884	2846
237	887	2841
238	890	2834
239	893	2828
240	896	2823
241	899	2817
242	902	2810
243	905	2805
244	908	2800
245	911	2794
246	914	2788
247	917	2781
248	920	2775
249	923	2769
250	925	2763
251	928	2756
252	931	2750
253	934	2744
254	937	2738
255	940	2732
256	943	2726
257	946	2720
258	948	2714
259	951	2708
260	954	2703
261	957	2697
262	960	2692
263	964	2688
264	967	2683
265	970	2678
266	973	2672
267	976	2666
268	979	2661
269	982	2657
270	985	2651
271	988	2645
272	991	2640
273	994	2634
274	997	2629
275	1000	2624
276	1003	2618
277	1006	2612
278	1009	2607
279	1011	2602
280	1014	2596
281	1017	2591
282	1020	2586
283	1024	2582
284	1027	2576
285	1030	2571
286	1032	2565
287	1035	2560
288	1038	2555
289	1041	2550
290	1044	2544
291	1047	2539
292	1050	2534
293	1053	2529
294	1056	2523
295	1059	2519
296	1062	2514
297	1065	2510
298	1068	2505
299	1071	2500
300	1074	2495
301	1077	2490
302	1080	2485
303	1083	2481
304	1087	2477
305	1090	2473
306	1093	2469
307	1097	2464
308	1100	2460
309	1103	2456
310	1106	2451
311	1109	2446
312	1112	2442
313	1115	2437
314	1119	2433
315	1122	2429
316	1125	2425
317	1128	2421
318	1132	2416
319	1135	2412
320	1138	2407
321	1141	2404
322	1144	2399
323	1147	2395
324	1151	2390
325	1154	2386
326	1157	2382
327	1160	2377
328	1163	2372
329	1166	2368
330	1169	2364
331	1173	2360
332	1175	2355
333	1179	2351
334	1182	2346
335	1185	2342
336	1188	2339
337	1191	2334
338	1195	2330
339	1198	2325
340	1201	2321
341	1204	2317
342	1207	2313
343	1210	2308
344	1213	2304
345	1217	2300
346	1220	2296
347	1223	2292
348	1227	2289
349	1230	2285
350	1233	2281
351	1236	2276
352	1240	2272
353	1242	2268
354	1246	2264
355	1249	2260
356	1252	2255
357	1256	2252
358	1259	2248
359	1262	2244
360	1265	2240
361	1268	2236
362	1271	2232
363	1275	2227
364	1278	2223
365	1281	2220
366	1284	2216
367	1287	2211
368	1290	2207
369	1293	2203
370	1296	2198
371	1299	2194
372	1303	2190
373	1306	2186
374	1309	2182
375	1312	2178
376	1315	2174
377	1318	2169
378	1322	2166
379	1325	2162
380	1328	2158
381	1331	2153
382	1334	2149
383	1337	2145
384	1340	2141
385	1343	2137
386	1347	2133
387	1350	2129
388	1353	2126
389	1357	2122
390	1360	2118
391	1363	2114
392	1366	2111
393	1369	2106
394	1373	2103
395	1376	2098
396	1379	2095
397	1382	2091
398	1385	2087
399	1388	2083
400	1392	2079
401	1395	2075
402	1398	2072
403	1402	2068
404	1405	2064
405	1408	2061
406	1411	2057
407	1415	2053
408	1418	2049
409	1421	2045
410	1424	2041
411	1428	2038
412	1431	2034
413	1434	2030
414	1438	2027
415	1441	2023
416	1444	2019
417	1447	2015
418	1450	2011
419	1453	2007
420	1457	2004
421	1460	2000
422	1463	1996
423	1467	1993
424	1470	1989
425	1473	1985
426	1476	1981
427	1479	1977
428	1483	1974
429	1487	1971
430	1490	1967
431	1493	1963
432	1496	1959
433	1499	1955
434	1502	1952
435	1506	1948
436	1509	1944
437	1512	1941
438	1516	1937
439	1519	1933
440	1522	1930
441	1525	1926
442	1529	1922
443	1532	1918
444	1535	1914
445	1538	1911
446	1542	1907
447	1545	1904
448	1548	1900
449	1551	1896
450	1554	1892
451	1558	1889
452	1561	1885
453	1564	1881
454	1567	1877
455	1570	1873
456	1573	1870
457	1577	1866
458	1580	1863
459	1584	1859
460	1587	1856
461	1590	1852
462	1594	1848
463	1597	1844
464	1600	1840
465	1603	1837
466	1606	1833
467	1609	1829
468	1611	1824
469	1614	1820
470	1617	1816
471	1620	1812
472	1623	1809
473	1626	1805
474	1629	1801
475	1632	1797
476	1636	1793
477	1639	1790
478	1642	1787
479	1646	1783
480	1649	1779
481	1652	1775
482	1654	1771
483	1657	1767
484	1660	1763
485	1663	1759
486	1666	1755
487	1669	1751
