iter	Passed	Remaining
0	148	148064
1	155	77801
2	163	54258
3	169	42276
4	173	34613
5	178	29520
6	182	25854
7	185	23016
8	188	20801
9	192	19065
10	195	17560
11	197	16276
12	199	15183
13	201	14220
14	203	13393
15	206	12676
16	208	12028
17	210	11463
18	212	10959
19	214	10503
20	216	10086
21	218	9714
22	220	9372
23	222	9060
24	225	8779
25	227	8513
26	229	8270
27	232	8058
28	234	7844
29	236	7636
30	238	7444
31	240	7269
32	242	7103
33	244	6952
34	246	6801
35	248	6660
36	250	6526
37	252	6400
38	254	6279
39	256	6165
40	259	6058
41	261	5969
42	264	5885
43	266	5791
44	268	5699
45	270	5613
46	272	5532
47	275	5458
48	277	5377
49	278	5300
50	281	5229
51	283	5162
52	285	5099
53	287	5032
54	289	4971
55	291	4912
56	293	4857
57	295	4802
58	297	4748
59	299	4694
60	301	4641
61	303	4593
62	305	4549
63	308	4511
64	310	4468
65	312	4419
66	314	4379
67	316	4337
68	318	4297
69	320	4259
70	322	4222
71	324	4184
72	326	4148
73	328	4113
74	330	4080
75	332	4047
76	334	4014
77	336	3982
78	338	3950
79	341	3925
80	343	3896
81	345	3867
82	347	3839
83	349	3811
84	351	3784
85	353	3759
86	355	3732
87	357	3707
88	359	3684
89	361	3659
90	363	3635
91	365	3611
92	367	3588
93	370	3566
94	372	3543
95	373	3521
96	376	3500
97	377	3478
98	379	3454
99	381	3433
100	383	3411
101	385	3393
102	387	3372
103	389	3355
104	391	3338
105	393	3320
106	395	3301
107	397	3283
108	399	3267
109	401	3252
110	404	3237
111	406	3220
112	408	3204
113	410	3189
114	412	3174
115	414	3159
116	416	3144
117	418	3128
118	420	3114
119	422	3099
120	424	3084
121	426	3070
122	428	3056
123	430	3042
124	432	3029
125	434	3017
126	437	3004
127	439	2991
128	441	2978
129	443	2965
130	445	2952
131	447	2941
132	449	2929
133	451	2918
134	453	2906
135	455	2894
136	457	2883
137	459	2871
138	461	2860
139	463	2849
140	466	2839
141	468	2829
142	470	2819
143	472	2810
144	474	2800
145	477	2791
146	479	2781
147	481	2770
148	483	2760
149	485	2750
150	487	2740
151	489	2731
152	491	2721
153	493	2712
154	495	2703
155	497	2693
156	499	2683
157	501	2673
158	503	2664
159	505	2656
160	508	2649
161	511	2644
162	513	2636
163	515	2630
164	518	2622
165	520	2614
166	522	2605
167	524	2598
168	526	2590
169	528	2580
170	530	2573
171	533	2566
172	535	2559
173	537	2551
174	539	2544
175	541	2537
176	544	2530
177	546	2523
178	548	2516
179	550	2508
180	553	2502
181	555	2495
182	557	2488
183	559	2480
184	561	2473
185	563	2466
186	565	2459
187	567	2451
188	569	2444
189	571	2437
190	573	2430
191	575	2423
192	578	2416
193	579	2409
194	582	2403
195	584	2396
196	586	2390
197	588	2385
198	591	2382
199	594	2376
200	596	2370
201	598	2364
202	600	2357
203	602	2351
204	604	2344
205	606	2338
206	608	2332
207	611	2327
208	613	2321
209	615	2315
210	617	2309
211	619	2303
212	622	2298
213	624	2292
214	626	2286
215	628	2279
216	630	2274
217	632	2268
218	634	2263
219	636	2258
220	638	2252
221	641	2246
222	643	2241
223	645	2235
224	647	2230
225	649	2225
226	652	2220
227	654	2214
228	656	2209
229	658	2203
230	660	2198
231	662	2191
232	664	2186
233	666	2180
234	668	2175
235	670	2169
236	672	2163
237	674	2158
238	676	2153
239	678	2147
240	680	2143
241	682	2137
242	684	2132
243	686	2127
244	688	2122
245	691	2119
246	693	2114
247	695	2109
248	697	2103
249	699	2099
250	701	2093
251	703	2089
252	705	2083
253	707	2078
254	709	2074
255	711	2069
256	713	2064
257	715	2058
258	717	2053
259	719	2049
260	722	2044
261	724	2039
262	726	2035
263	728	2031
264	730	2026
265	732	2021
266	734	2017
267	737	2013
268	739	2008
269	741	2004
270	743	1999
271	745	1994
272	747	1990
273	749	1986
274	751	1981
275	753	1977
276	755	1973
277	758	1969
278	761	1967
279	763	1962
280	765	1958
281	767	1954
282	769	1950
283	772	1946
284	774	1943
285	777	1940
286	779	1936
287	781	1932
288	783	1928
289	785	1924
290	788	1921
291	790	1917
292	792	1913
